name,value
gatal,"[-0.06475263088941574, 0.07146146148443222, -0.030000008642673492, -0.028652373701334, -0.05633118376135826, -0.056557659059762955, 0.13603219389915466, -0.030348144471645355, -0.04484410211443901, -0.02403474971652031, 0.047868404537439346, -0.06394755095243454, 0.01200154609978199, -0.02456013672053814, -0.010946678929030895, -0.059582389891147614, 0.048886265605688095, -0.018922142684459686, -0.05109335482120514, -0.08418740332126617, -0.0463716946542263, 0.021436413750052452, 0.04583807662129402, 0.008101440966129303, 0.07176580280065536, -0.014780217781662941, 0.0034084017388522625, 0.03115082159638405, 0.04319538548588753, -0.07861469686031342, 0.053635261952877045, 0.02960042655467987, 0.05241568759083748, 0.014608965255320072, -0.09101526439189911, -0.027657145634293556, -0.0684528723359108, -0.016574900597333908, 0.0020929486490786076, -0.017400212585926056, -0.02544068917632103, -0.031043527647852898, -0.06503649801015854, -0.016092976555228233, 0.036994170397520065, -0.037401989102363586, -0.04445414990186691, -0.07601327449083328, -0.024279138073325157, 0.06252669543027878, 0.01532731857150793, -0.06333513557910919, -0.017109334468841553, 0.015368863008916378, 0.10211699455976486, 0.03186248615384102, -0.05287846177816391, -0.04029352590441704, 0.019808119162917137, 0.06484479457139969, 0.014744246378540993, 0.014703716151416302, -0.10325002670288086, 0.024862015619874, -0.00492333946749568, 0.021422889083623886, 0.0801030769944191, -0.059312716126441956, -0.04105931892991066, 0.01850181259214878, 0.00352701754309237, 0.024380452930927277, 0.036154042929410934, -0.0061179096810519695, -0.050148505717515945, 0.020006278529763222, -0.001887897844426334, 0.04222995415329933, 0.06447895616292953, -0.02451338991522789, -0.0072670732624828815, -0.010769642889499664, 0.0028633438050746918, 0.0495726652443409, 0.006034609861671925, -0.03046051785349846, 0.0017360338242724538, 0.022115889936685562, 0.022450847551226616, 0.005381988361477852, 0.03643222153186798, 0.12874214351177216, 0.04935641586780548, 0.0033303769305348396, 0.017080264165997505, -0.02231571078300476, -0.05816120281815529, -0.10464861989021301, -0.07814481854438782, 0.17746971547603607, 0.04444197565317154, 0.0017100918339565396, 0.029055532068014145, 0.0519682802259922, -0.03403176739811897, -0.002214297652244568, 0.018731994554400444, -0.016271905973553658, -0.03970517963171005, 0.02181815169751644, -0.06916996836662292, -0.01128138042986393, -0.0008843421237543225, -0.02479216270148754, -0.04198770225048065, 0.1039474755525589, -0.012143109925091267, 0.03710974007844925, -0.05554686114192009, -0.017638016492128372, 0.05165572464466095, 0.04882340878248215, -0.07697399705648422, 0.023194247856736183, 0.010837630368769169, -0.03786042332649231, 0.023302340880036354, -1.992246560214829e-33, 0.04766521975398064, -0.04053976386785507, -0.03168043494224548, 0.05531518533825874, -0.0004078015044797212, 0.10289191454648972, -0.05886228382587433, 0.008532073348760605, -0.10845828056335449, 0.01492075901478529, 0.0005261375335976481, 0.02077619917690754, -0.05936570093035698, 0.014327287673950195, 0.17057159543037415, 0.13192199170589447, -0.035839665681123734, 0.06438539177179337, 0.023320013657212257, -0.047336943447589874, 0.03554673492908478, -0.024198034778237343, 0.02193491905927658, -0.019464164972305298, -0.014079798012971878, -0.009830872528254986, -0.008161242119967937, -0.09808368235826492, -0.008737621828913689, 0.013449208810925484, 0.03822968155145645, -0.03181682899594307, -0.04168882593512535, 0.06774601340293884, -0.029556598514318466, -0.06687847524881363, -0.003952354658395052, -0.05226422846317291, 0.008600277826189995, 0.03551940992474556, -0.03477426990866661, 0.048556216061115265, -0.02349182590842247, 0.027331942692399025, -0.012468119151890278, 0.04612011834979057, 0.11084417253732681, -0.046112921088933945, 0.1191444993019104, -0.01618683896958828, -0.009257216937839985, -0.02032282017171383, -0.05956212803721428, 0.07378163188695908, -0.07623106986284256, 0.07078699767589569, -0.018853740766644478, -0.01089776586741209, 0.0507015623152256, -0.015991467982530594, 0.07653256505727768, 0.11303359270095825, 0.10397752374410629, 0.024044455960392952, -0.056351467967033386, -0.02015669085085392, -0.0013972746673971415, 0.0062907999381423, 0.0024843697901815176, 0.02428201027214527, -0.07509790360927582, -0.04782238230109215, 0.1269945353269577, 0.05998761206865311, -0.021312972530722618, -0.01061592809855938, -0.03565635904669762, -0.05590056627988815, -0.10733231902122498, 0.0005003414116799831, -0.033918190747499466, -0.02112642116844654, -0.024372778832912445, 0.018890880048274994, 0.06597614288330078, -0.019769364967942238, -0.04051141440868378, -0.017924156039953232, 0.014740285463631153, -0.04306616261601448, -0.007481274660676718, -0.017599552869796753, 0.028269480913877487, -0.016681451350450516, -0.06628528982400894, 2.7687421288535383e-33, -0.029397916048765182, -0.021595720201730728, 0.006143617909401655, 0.0058891805820167065, 0.018310200423002243, -0.084890216588974, 0.06506578624248505, -0.052702076733112335, 0.03089866042137146, 0.05755903199315071, 0.03206174075603485, 0.08404120057821274, 0.11265427619218826, -0.019972484558820724, 0.0493866428732872, 0.02759498730301857, 0.0476398691534996, -0.030448313802480698, 0.03429698571562767, -0.028933018445968628, 0.02951010689139366, -0.08379444479942322, -0.02185853011906147, -0.10662833601236343, 0.015356747433543205, 0.07057292014360428, 0.14304102957248688, -0.016020843759179115, -0.006970613729208708, -0.029053527861833572, 0.009777521714568138, 0.013943378813564777, -0.0885993018746376, -0.03593096137046814, -0.0014918355736881495, 0.0182787012308836, 0.11594317853450775, 0.10934090614318848, -0.025990314781665802, -0.07072178274393082, -0.008082875050604343, -0.00028344604652374983, 0.036394473165273666, 0.07690111547708511, 0.01051249448210001, 0.056725066155195236, 0.012856090441346169, 0.037544868886470795, -0.050480280071496964, 0.040355317294597626, 0.000760669179726392, 0.06241968646645546, -0.0417756550014019, 0.033853281289339066, 0.04679111763834953, -0.029706861823797226, 0.007873150520026684, -0.07636424154043198, -0.0866391733288765, 0.01593211479485035, 0.05267446115612984, 0.07195364683866501, 0.027859389781951904, -0.061013113707304, -0.051682744175195694, 0.060639675706624985, 0.07801034301519394, 0.009465004317462444, -0.019477972760796547, 0.06272327899932861, 0.03521139174699783, -0.013340434990823269, -0.07309188693761826, -0.03095005452632904, -0.05734190717339516, 0.16188669204711914, -0.0009286752319894731, 0.022283678874373436, 0.011742081493139267, -0.07445584982633591, 0.02281084842979908, 0.0295790396630764, -0.028069403022527695, 0.06156051903963089, -0.006340398453176022, -0.0825175791978836, -0.022692786529660225, 0.085462287068367, 0.11385612189769745, -0.025259627029299736, -0.015522652305662632, -0.01914769597351551, 0.05823007598519325, -0.04262159392237663, -0.022810325026512146, -1.424095685820248e-08, -0.040848731994628906, -0.025400802493095398, -0.07938262820243835, -0.011193523183465004, 0.06162486597895622, 0.01679663173854351, -0.07231950759887695, 0.04145362228155136, -0.0016338333953171968, -0.032381318509578705, 0.024888189509510994, 0.004248533397912979, -0.001844968879595399, -0.0059996098279953, 0.018711308017373085, 0.02534649148583412, -0.008963269181549549, -0.03270412236452103, -0.010922172106802464, -0.049495089799165726, -0.04565254598855972, -0.01812567189335823, 0.01194456685334444, -0.017129264771938324, -0.022848043590784073, -0.006167984567582607, -0.03791782259941101, 0.03236526623368263, -0.01575152762234211, 0.015724772587418556, 0.01848638989031315, 0.06165589392185211, 0.025471946224570274, -0.03475668653845787, 0.050635434687137604, -0.017261771485209465, -0.04096953943371773, 0.03693181276321411, 0.023427948355674744, -0.0928589478135109, 0.02136768028140068, -0.02919980324804783, 0.0953567773103714, -0.023222988471388817, -0.05083446949720383, -0.02295549213886261, 0.029566898941993713, -0.08561580628156662, 0.09096112102270126, -0.01393081620335579, -0.010718145407736301, -0.041171394288539886, 0.0301047470420599, 0.12530961632728577, 0.1016024723649025, -0.016362261027097702, -0.03698554262518883, -0.03705941140651703, 0.023686906322836876, 0.01639358513057232, 0.014796080999076366, -0.06097176671028137, -0.0214224886149168, -0.021757613867521286]"
ruam kulit,"[-0.012457143515348434, 0.03808822110295296, -0.06623672693967819, 0.04642916098237038, -0.10183386504650116, 0.032546091824769974, 0.09678865224123001, -0.005752492696046829, 0.04878438264131546, -0.011169412173330784, 0.024205608293414116, -0.06271466612815857, -0.056063443422317505, -0.022814571857452393, 0.01837438903748989, -0.009112496860325336, -0.003500503022223711, 0.03633827716112137, -0.014808650128543377, -0.036171719431877136, -0.0004520800430327654, -0.09291302412748337, -0.01438423153012991, -0.0026932312175631523, 0.008215109817683697, 0.04741347208619118, 0.11755795776844025, 0.0071043651551008224, 0.0923176109790802, -0.12330802530050278, 0.014618193730711937, -0.050220269709825516, 0.03642931580543518, -0.007265106774866581, -0.017409535124897957, 0.06634850054979324, -0.08015847951173782, -0.03919870778918266, -0.06773017346858978, 0.0592314787209034, -0.04635971412062645, -0.02244572713971138, -0.08639337122440338, -0.08283711224794388, 0.07667500525712967, -0.018179822713136673, -0.048493076115846634, -0.023824675008654594, 0.05509177967905998, -0.06352350115776062, 0.0048675634898245335, -0.018369611352682114, -0.032982293516397476, 0.04193372279405594, 0.08247623592615128, -0.0136986393481493, -0.02006208710372448, -0.04117279127240181, 0.04926284775137901, -0.02033095993101597, 0.03657005354762077, -0.01330291572958231, -0.03563961014151573, -0.04597385972738266, -0.04189320281147957, -0.049721408635377884, -0.014354669488966465, 0.05783151090145111, -0.008725195191800594, 0.04446226730942726, 0.045358408242464066, -0.02926926128566265, -0.05249762535095215, 0.009619425982236862, -0.027114253491163254, -0.09859512746334076, 0.002197528025135398, -0.0017638670979067683, -0.03599211201071739, -0.027627691626548767, 0.08231303095817566, -0.008342654444277287, 0.012702185660600662, -0.04342450201511383, -0.036855172365903854, 0.009286240674555302, 0.030268147587776184, -0.058274660259485245, -0.006880378816276789, -0.009369777515530586, -0.012323752045631409, 0.008487054146826267, 0.013058146461844444, -0.03744993731379509, 0.01237230934202671, 0.010757025331258774, -0.037349771708250046, 0.011359568685293198, 0.0014024859992787242, 0.09143473953008652, -0.006604986730962992, 0.0717015489935875, -0.0697936862707138, 0.013057129457592964, 0.0022784369066357613, -0.011613646522164345, -0.031496088951826096, 0.009298654273152351, 0.050000160932540894, 0.019675226882100105, -0.05464550480246544, 0.004609995521605015, -0.07664908468723297, 0.03377629816532135, 0.0648389682173729, -0.022757068276405334, 0.0012531648389995098, -0.03732164949178696, -0.08415453135967255, 0.05340111255645752, 0.06364600360393524, 0.00948718935251236, -0.09289843589067459, 0.03504739701747894, -0.011320140212774277, -0.062794029712677, 0.03956381604075432, 6.536357000733965e-34, 0.030501101166009903, -0.0513216108083725, -0.028732307255268097, -0.009589112363755703, 0.006113710347563028, -0.015783825889229774, -0.042020492255687714, -0.05994219705462456, -0.10067795217037201, -0.05981188639998436, -0.012898849323391914, 0.03124416619539261, -0.06544104218482971, -0.013144765980541706, 0.09095031768083572, 0.10646481812000275, -0.008677897974848747, 0.03218380734324455, 0.038112714886665344, 0.01085802260786295, 0.027907056733965874, 0.0044236076064407825, 0.0560506246984005, -0.05690161883831024, -0.02096318081021309, 0.007857542484998703, 0.0732164978981018, -0.027424538508057594, 0.022335322573781013, -0.004077369812875986, 0.0530925914645195, -0.021596090868115425, -0.024374382570385933, 0.09402459859848022, -0.06410127133131027, 0.0022082943469285965, -0.03784676641225815, -0.043453704565763474, -0.10221347957849503, -0.00275521632283926, -0.026386238634586334, -0.0036532608792185783, -0.0252069141715765, 0.04261767491698265, 0.011428408324718475, 0.0015131068648770452, 0.07613860815763474, 0.01937057077884674, 0.08773214370012283, 0.02618870884180069, -0.09473912417888641, 0.045202840119600296, -0.051961734890937805, 0.05577896535396576, 0.05895538255572319, -0.0024474989622831345, 0.0656672790646553, -0.040022749453783035, -0.007462840992957354, 0.026722943410277367, 0.009843082167208195, 0.009978684596717358, -0.018234871327877045, 0.028876688331365585, 0.04038577899336815, -0.07971179485321045, 0.0029959010425955057, 0.05127163976430893, -0.02030414156615734, -0.07522379606962204, -0.05304337292909622, 0.0004148441075813025, 0.010395691730082035, 0.06972166895866394, -0.10531237721443176, -0.04811179265379906, 0.03409716486930847, -0.015750641003251076, -0.1344858855009079, 0.06471926718950272, -0.054992932826280594, 0.027029460296034813, 0.03386138752102852, 0.05959654599428177, -0.0004893282311968505, 0.048650845885276794, 0.043111853301525116, -0.03872967138886452, -0.023646365851163864, 0.020282739773392677, -0.03932647407054901, -0.003224417334422469, 0.006548017263412476, 0.013537216000258923, -0.08278179913759232, -1.0729816925389836e-33, 0.06810430437326431, -0.03178492188453674, -0.049365609884262085, 0.10061021894216537, 0.11142007261514664, 0.030616916716098785, 0.0711096003651619, 0.0505279004573822, -0.018662139773368835, 0.06494276970624924, 0.029846971854567528, -0.05250963196158409, 0.07305930554866791, 0.06155770644545555, 0.030999355018138885, 0.028574978932738304, 0.0943613201379776, 0.088236965239048, -0.07823994010686874, -0.047932110726833344, -0.00879113283008337, 0.07911504060029984, -0.03451592102646828, 0.014176356606185436, -0.0690658912062645, 0.03738795965909958, 0.0958096832036972, -0.01905989833176136, -0.2272353321313858, 0.01898305118083954, 0.0424935556948185, -0.08911541104316711, -0.056731998920440674, 0.07186180353164673, -0.0031227641738951206, 0.032083671540021896, 0.04928412660956383, 0.04783182963728905, -0.04219287261366844, -0.016561273485422134, 0.047734640538692474, 0.0657961294054985, -0.04647788405418396, 0.034587111324071884, 0.04429706931114197, -0.04940703883767128, -0.02503587119281292, 0.1378922462463379, 0.040817730128765106, -0.049556419253349304, 0.02374221198260784, 0.004094906151294708, 0.024762094020843506, 0.007077805232256651, 0.042387183755636215, -0.07258424907922745, -0.038827501237392426, 0.01000475138425827, 0.011855958960950375, 0.032134827226400375, -0.0205436572432518, -0.02020740881562233, 0.04069479554891586, 0.010310105979442596, -0.006612792145460844, 0.002763632917776704, 0.05054944008588791, -0.017171446233987808, -0.003497924655675888, -0.015326783992350101, 0.04504157230257988, -0.025538034737110138, -0.04702530801296234, 0.024166984483599663, -0.08344942331314087, 0.039216652512550354, -0.02765464223921299, 0.06433635950088501, 0.0455399826169014, -0.0034426182974129915, 0.04298833757638931, -0.05475161224603653, -0.04948078468441963, 0.07613997161388397, 0.04888993874192238, 0.007150096818804741, 0.02675887756049633, -0.03623352572321892, 0.10160205513238907, -0.028940798714756966, 0.04747480899095535, 0.00835579726845026, 0.03223623335361481, -0.054870691150426865, -0.00046950962860137224, -1.538747973484078e-08, 0.03627178445458412, -0.06358463317155838, -0.09964210540056229, -0.03324229270219803, 0.05800304934382439, -0.03626655787229538, -0.01665414124727249, -0.08169113844633102, -0.10718286782503128, 0.014419936574995518, 0.004148704465478659, 0.02696281671524048, -0.009088780730962753, -2.7446323656477034e-05, 0.04432865232229233, 0.007198886480182409, 0.0060286447405815125, 0.13965480029582977, 0.023953285068273544, -0.009660336188971996, -0.03491315245628357, 0.027970464900135994, 0.001668738666921854, -0.032931260764598846, 0.07500345259904861, 0.02578268013894558, 0.03331499919295311, 0.006296878680586815, 0.10405313968658447, 0.031000569462776184, 0.07659638673067093, 0.05411866679787636, -0.05367301031947136, 0.019470036029815674, 0.05450328812003136, 0.021836809813976288, 0.006185509264469147, 0.10557854920625687, -0.04937925189733505, 0.02248348854482174, -0.043761856853961945, -0.037023674696683884, 0.06198470667004585, -0.01912280172109604, -0.09641160070896149, 0.10775979608297348, -0.02222750335931778, -0.06742656230926514, 0.01839951053261757, -0.02445637620985508, -0.019473589956760406, -0.07122015953063965, 0.07414113730192184, 0.02816084772348404, -0.05872775614261627, 0.049943696707487106, -0.009936687536537647, -0.09653159230947495, -0.020378027111291885, -0.024475891143083572, 0.06428272277116776, -0.015476725064218044, -0.06370395421981812, 0.07525797188282013]"
benjolan di kulit,"[-0.028658460825681686, 0.11979082226753235, -0.036688316613435745, -0.06695490330457687, -0.10343988239765167, -0.04666551575064659, 0.12136577069759369, -0.0033610921818763018, 0.055285125970840454, 0.02947455830872059, 0.04740898311138153, -0.1091058999300003, -0.041919875890016556, 0.029605822637677193, 0.019505562260746956, 0.03887319564819336, 0.002187415724620223, 0.0838058814406395, -0.03118755854666233, -0.02826504223048687, -0.026630453765392303, -0.08357260376214981, -0.005309194792062044, 0.011723622679710388, -0.004799788352102041, 0.05689115449786186, 0.1035815104842186, -0.00016309852071572095, 0.029344934970140457, -0.08738059550523758, -0.081247977912426, 0.01495931763201952, 0.01736406795680523, -0.0269760899245739, 0.042060304433107376, -0.0111286835744977, -0.05204525217413902, 0.02640082687139511, -0.05417514592409134, 0.014294629916548729, -0.0637795627117157, -0.029188336804509163, -0.07591322064399719, -0.09762068837881088, 0.09962941706180573, -0.05540147423744202, -0.09201232343912125, 0.003720737062394619, 0.04412463307380676, 0.010896253399550915, 0.002872949931770563, -0.035605210810899734, 0.04769084230065346, 0.049551572650671005, 0.09758787602186203, -0.01707242615520954, -0.015719201415777206, 0.0014692724216729403, 0.02709829993546009, 0.05089174211025238, 0.0598311610519886, -0.01773996092379093, -0.08237054944038391, 0.012750405818223953, -0.05805022269487381, -0.027329755946993828, -0.05751382187008858, -0.0548914335668087, -0.13048812747001648, -0.01930418238043785, 0.10346005111932755, -0.10960425436496735, 0.010725659318268299, -0.05744268372654915, 0.004402326885610819, -0.09260444343090057, -0.008288098499178886, -0.01569640077650547, -0.048312172293663025, -0.09876410663127899, 0.0946974903345108, 0.01274638157337904, -0.019196853041648865, 0.007857419550418854, -0.028368182480335236, 0.03546660766005516, 0.043125614523887634, -0.04434623941779137, 0.03248344734311104, 0.00798802450299263, -0.024859409779310226, 0.035055503249168396, -0.07011960446834564, -0.04682639613747597, 0.020009314641356468, -0.010946253314614296, 0.0009716826025396585, 0.024251246824860573, 0.006605997681617737, 0.08616255223751068, 0.013586407527327538, 0.06732232123613358, -0.05842643603682518, -0.03287426009774208, -0.08437233418226242, -0.03819490224123001, 0.08529041707515717, -0.06117682158946991, 0.07172737270593643, 0.040844451636075974, -0.07012786716222763, -0.008483342826366425, -0.06347232311964035, -0.016718799248337746, 0.02396252565085888, -0.042497918009757996, 0.01395258679986, -0.01879282109439373, -0.02174636907875538, -0.02198691852390766, 0.08456072956323624, -0.03312472626566887, -0.08964015543460846, 0.04279490187764168, 0.027318540960550308, 0.01704159379005432, 0.06238548457622528, 1.2891218592055931e-33, 0.06097748130559921, -0.055923569947481155, 0.01969924569129944, 0.02543535642325878, 0.003937979228794575, -0.036654602736234665, -0.04748142138123512, -0.08255509287118912, -0.09094537794589996, -0.14376775920391083, -0.08978406339883804, -0.03722129017114639, -0.07967603206634521, -0.04708947613835335, 0.06266326457262039, 0.0924934521317482, -0.0285179503262043, 0.008099975064396858, 0.06460613757371902, 0.02438533864915371, 0.054316285997629166, 0.021496109664440155, -0.03279509395360947, 0.019475847482681274, -0.02420997805893421, 0.02524443343281746, 0.05524377524852753, 0.007596119772642851, -0.008769183419644833, 0.03435111418366432, 0.03358147293329239, 0.009174463339149952, -0.02116592414677143, 0.008414736948907375, -0.0763329491019249, 0.015991074964404106, -0.02738993987441063, 0.05201397463679314, -0.09981922805309296, 0.006947685964405537, -0.02615298517048359, -0.012856394983828068, -0.012470044195652008, -0.0365145243704319, 0.00394028564915061, -0.00527979526668787, 0.0706620067358017, -0.017355702817440033, 0.05652657151222229, -0.008613656274974346, -0.05851592868566513, 0.05071669816970825, -0.01758463867008686, 0.035763274878263474, 0.05388332158327103, 0.04336770623922348, 0.03219681978225708, -0.046649739146232605, 0.011573432013392448, 0.013753646984696388, 0.052556321024894714, 0.009775739163160324, -0.040161315351724625, 0.06300942599773407, 0.012375051155686378, -0.07057904452085495, 0.015192932449281216, 0.03639962896704674, 0.03757632151246071, -0.0730370432138443, -0.10214310884475708, -0.002398647367954254, -0.01574092172086239, 0.045112695544958115, -0.06704182922840118, 0.002974750706925988, -0.04474546015262604, 0.022907687351107597, -0.12923237681388855, 0.0541730672121048, -0.012712140567600727, -0.010131904855370522, 0.0851837769150734, 0.030334854498505592, 0.022260352969169617, 0.0927836000919342, 0.04114051163196564, -0.017545124515891075, 0.004354540724307299, 0.021717645227909088, -0.005536332260817289, -0.03569735214114189, 0.03668246418237686, -0.017951976507902145, -0.03608376905322075, -1.9529617226813406e-33, 0.03851458802819252, -0.025472689419984818, -0.00777302123606205, 0.00593205913901329, 0.034392617642879486, 0.02060118317604065, -0.023312101140618324, 0.03026110865175724, -0.0026976733934134245, 0.06702298671007156, 0.01663205586373806, -0.0685163289308548, 0.08095137029886246, 0.042129192501306534, -0.05184927210211754, 0.08088366687297821, 0.07327616214752197, 0.06640402972698212, -0.06467501074075699, -0.05368535965681076, -0.019320007413625717, 0.09226759523153305, -0.02345079928636551, -0.037394244223833084, -0.04879779368638992, 0.033026501536369324, 0.050134286284446716, 0.0002478271198924631, -0.12980151176452637, -0.024937180802226067, -0.01578330807387829, -0.04466063901782036, -0.013947272673249245, 0.046353332698345184, 0.04766959697008133, 0.042504291981458664, 0.021121371537446976, -0.04804350435733795, -0.010958346538245678, 0.04684322327375412, -0.022421030327677727, 0.0602908693253994, -0.00474718539044261, 0.02188766747713089, 0.014052465558052063, -0.031918689608573914, -0.040873728692531586, 0.0010323384776711464, 0.015364239923655987, -0.07551472634077072, 0.040337178856134415, 0.06005110964179039, 0.00015129832900129259, -0.06135460361838341, 0.07469947636127472, -0.021738385781645775, -0.011349736712872982, 0.016853544861078262, 0.015750665217638016, 0.006146633997559547, -0.013419280759990215, -0.010322388261556625, 0.035969678312540054, 0.06223113462328911, 0.027367306873202324, 0.022170526906847954, -0.027278514578938484, 0.08281497657299042, 0.059528764337301254, 0.006427267100661993, -0.008319813758134842, -0.08154741674661636, 0.006486666854470968, 0.01101246103644371, -0.1250370740890503, -0.011377766728401184, 0.004279540851712227, 0.09657758474349976, 0.05889814347028732, 0.0628160908818245, -0.02427777089178562, -0.09192333370447159, -0.04090094193816185, 0.039059486240148544, -0.06132278963923454, -0.018314173445105553, 0.03441310301423073, -0.07396846264600754, 0.03792373090982437, -0.0303485170006752, 0.004048946779221296, 0.06640288233757019, 0.07665329426527023, 0.06469915807247162, 0.012132292613387108, -1.7755281689346702e-08, 0.05397887900471687, -0.09500699490308762, -0.1492820382118225, 0.01494063250720501, 0.04892712086439133, -0.039823345839977264, -0.028003714978694916, -0.005453150719404221, 0.012624376453459263, 0.0203032698482275, -0.02155493199825287, 0.04816100373864174, -0.04813061282038689, 0.05934973806142807, 0.017058080062270164, 0.08541066944599152, 0.023596692830324173, 0.04119838774204254, 0.05783604457974434, -0.03551298752427101, 0.018115850165486336, -0.0006209434941411018, -0.05207803472876549, -0.0605170875787735, -0.0020663710311055183, 0.056723516434431076, -0.00027912837686017156, -0.01492998655885458, 0.08899187296628952, -0.03317927196621895, -0.005069035105407238, 0.07933243364095688, -0.05384599417448044, -0.05135872960090637, 0.056089580059051514, 0.0801074355840683, -0.06544885039329529, 0.0753285363316536, 0.009416901506483555, 0.044020529836416245, 0.07850205153226852, 0.0393981896340847, 0.028018368408083916, 0.0014273817650973797, -0.033754777163267136, 0.028342103585600853, 0.024430042132735252, 0.0016733293887227774, 0.02843206189572811, -0.040114592760801315, -0.07815196365118027, -0.06082438305020332, 0.09980130940675735, 0.03120478056371212, -0.0019367944914847612, 0.05704343318939209, 0.05125134810805321, -0.03315511345863342, 0.018564416095614433, -0.007000434212386608, 0.0312208104878664, 0.03684243932366371, -0.03305177390575409, 0.08212856203317642]"
