iter	Accuracy	MultiClass
339	1	0.02458905212
340	1	0.02444276694
341	1	0.02435890513
342	1	0.02410135731
343	1	0.02401208685
344	1	0.02385697249
345	1	0.02378207445
346	1	0.02369491131
347	1	0.02361159363
348	1	0.02352615518
349	1	0.0233864592
350	1	0.0233081733
351	1	0.02321498048
352	1	0.02314626401
353	1	0.02305901243
354	1	0.02299910976
355	1	0.02287367275
356	1	0.02272033307
357	1	0.02252819653
358	1	0.02245448289
359	1	0.02237714491
360	1	0.02229744388
361	1	0.02211508636
362	1	0.0220398153
363	1	0.02193395169
364	1	0.02187136873
365	1	0.02180591129
366	1	0.02174401091
367	1	0.02163141966
368	1	0.02153113965
369	1	0.02145789708
370	1	0.02137142035
371	1	0.02130951228
372	1	0.02114496693
373	1	0.02108375103
374	1	0.02102401372
375	1	0.02096619914
376	1	0.02090281825
377	1	0.02072826893
378	1	0.02066405742
379	1	0.02056325059
380	1	0.02047735645
381	1	0.0204244083
382	1	0.02025889197
383	1	0.02020389803
384	1	0.02014998082
385	1	0.02007306391
386	1	0.01997762534
387	1	0.01989642843
388	1	0.01983133439
389	1	0.01978421404
390	1	0.01972895861
391	1	0.01966476248
392	1	0.01961241807
393	1	0.01956087928
394	1	0.01949218204
395	1	0.01937265358
396	1	0.01928774003
397	1	0.01923978713
398	1	0.01908464586
399	1	0.01899711163
400	1	0.01895123336
401	1	0.01879606132
402	1	0.01873817367
403	1	0.01866193548
404	1	0.01861364611
405	1	0.01848685549
406	1	0.01843786047
407	1	0.01829386142
408	1	0.01816390214
409	1	0.01806368751
410	1	0.01799170048
411	1	0.01795526858
412	1	0.01788291624
413	1	0.01778197865
414	1	0.01772804799
415	1	0.01760551045
416	1	0.01756599257
417	1	0.01752400398
418	1	0.01748583394
419	1	0.01743843863
420	1	0.01734899321
421	1	0.01726729639
422	1	0.01721235245
423	1	0.01717101951
424	1	0.01712302816
425	1	0.01698975794
426	1	0.01693019944
427	1	0.01687178112
428	1	0.01683287082
429	1	0.01676241621
430	1	0.01671261941
431	1	0.01664318961
432	1	0.01657436932
433	1	0.01650540483
434	1	0.01645644826
435	1	0.01642014519
436	1	0.01631487954
437	1	0.01619891197
438	1	0.01615219924
439	1	0.01609370978
440	1	0.01604724219
441	1	0.01600469505
442	1	0.01596960041
443	1	0.01586097287
444	1	0.01581189421
445	1	0.01577525754
446	1	0.01572286217
447	1	0.01567915851
448	1	0.01564209404
449	1	0.01561122075
450	1	0.01556758054
451	1	0.01550630216
452	1	0.01547415026
453	1	0.0154341142
454	1	0.01537081695
455	1	0.01531828988
456	1	0.01527939689
457	1	0.01522576136
458	1	0.01513855976
459	1	0.01509247576
460	1	0.01505805408
461	1	0.01501160668
462	1	0.01497871741
463	1	0.01493863906
