iter	Passed	Remaining
401	16935	12554
402	16980	12513
403	17015	12466
404	17055	12422
405	17094	12378
406	17129	12331
407	17165	12284
408	17210	12245
409	17252	12203
410	17293	12159
411	17338	12120
412	17385	12081
413	17431	12041
414	17478	12003
415	17521	11961
416	17561	11918
417	17612	11882
418	17659	11843
419	17707	11804
420	17755	11767
421	17806	11730
422	17843	11684
423	17891	11646
424	17934	11604
425	17972	11559
426	18014	11517
427	18054	11473
428	18096	11431
429	18133	11386
430	18169	11339
431	18210	11297
432	18248	11252
433	18281	11204
434	18321	11161
435	18362	11118
436	18400	11073
437	18442	11031
438	18485	10990
439	18524	10946
440	18565	10903
441	18607	10861
442	18642	10815
443	18681	10771
444	18721	10728
445	18763	10685
446	18800	10641
447	18834	10594
448	18876	10552
449	18915	10508
450	18957	10466
451	19003	10426
452	19041	10382
453	19081	10339
454	19123	10297
455	19165	10255
456	19200	10209
457	19241	10166
458	19280	10123
459	19319	10079
460	19361	10037
461	19404	9996
462	19439	9950
463	19474	9905
464	19511	9860
465	19550	9817
466	19589	9773
467	19631	9731
468	19675	9690
469	19717	9649
470	19758	9606
471	19795	9562
472	19833	9518
473	19870	9473
474	19908	9430
475	19948	9387
476	19985	9343
477	20027	9301
478	20064	9257
479	20103	9213
480	20143	9171
481	20184	9128
482	20225	9086
483	20263	9043
484	20295	8996
485	20329	8951
486	20363	8906
487	20402	8863
488	20442	8820
489	20484	8778
490	20526	8737
491	20564	8693
492	20603	8650
493	20640	8607
494	20682	8565
495	20723	8523
496	20760	8479
497	20794	8434
498	20837	8393
499	20874	8349
500	20908	8304
501	20944	8260
502	20982	8217
503	21019	8174
504	21059	8132
505	21098	8089
506	21139	8047
507	21179	8005
508	21215	7961
509	21254	7918
510	21296	7876
511	21333	7833
512	21373	7791
513	21408	7747
514	21451	7706
515	21492	7663
516	21528	7620
517	21562	7576
518	21597	7531
519	21632	7488
520	21670	7445
521	21708	7402
522	21747	7359
523	21785	7317
524	21827	7275
525	21867	7233
526	21906	7191
527	21946	7149
528	21982	7105
529	22019	7062
530	22059	7020
531	22103	6980
532	22139	6936
533	22178	6894
534	22219	6852
535	22260	6811
536	22302	6769
537	22335	6725
538	22371	6682
539	22412	6640
540	22451	6598
541	22494	6557
542	22534	6515
543	22572	6472
544	22608	6430
545	22646	6387
546	22680	6343
547	22713	6300
548	22746	6256
549	22782	6213
550	22814	6169
551	22853	6127
552	22890	6084
553	22930	6043
554	22967	6000
